Japanese,English
ningen,human
hito,person
otoko,male
otokonohito,man
otokonoko,boy
onna,female
onnanohito,woman
onnanoko,girl
akachan,baby
wakamono,"youth, young person"
watashi,"I, myself"
watakushi [most formal],"I, myself"
boku (mainly used by males),"I, myself"
ore (mainly used by males [informal]),"I, myself"
atashi (mainly used by females [softer sounding]),"I, myself"
shoujo,girl
shounen,boy
isha,doctor
kangoshi,nurse
kangofu,female nurse
ha-isha,dentist
shikai,dentist
seijika,politician
bengoshi,lawyer
shouboushi,firefighter
keisatsukan,police officer
heishi,soldier
kenchikuka,architect
sensei,teacher
kyoushi,academic teacher
kashu,singer
enjinia,engineer
ashi,"foot, leg"
kakato,heel
sune,shin
hiza,knee
momo,thigh
atama,head
kao,face
kuchi,mouth
kuchibiru,lips
ha,tooth
hana,nose
me,eye
hige,moustache; beard
kami,hair
mimi,ear
i,stomach
ude,arm
hiji,elbow
kata,shoulder
tsume,nail
te,hand
tekubi,wrist
te-no-hira,palm of hand
yubi,finger; toe
shiri,buttocks
o-naka,abdomen
hara,abdomen
kanzō,liver
kimo,liver
kin'niku,muscle
kubi,neck
kokoro,heart [as in feelings]
koshi,"waist, hip"
shinzō,heart
senaka,back
chi,blood
niku,meat
hada,skin
hifu,skin
hone,bone
mune,chest
kaze,cold [illness]
geri,diarrhea
byōki,illness
kazoku,family
ryoushin,parents
kodomo,"children, child"
"chichi, otou-san",father
"haha, okaa-san",mother
tsuma,wife
otto,husband
"ani, onī-san",older brother
"ane, onē-san",older sister
otōto,younger brother
imōto,younger sister
"siblings, kyōdai",brothers
shimai,sisters
"sofu, ojii-san",grandfather
"sobo, obaa-san",grandmother
mago,grandchild
"oji, oji-san",uncle
"oba, oba-san",aunt
itoko,cousin (male)
itoko,cousin (female)
"jūkei, itoko",cousin (elder male)
"jūshi, itoko",cousin (elder female)
"jūmai, itoko",cousin (younger female)
"jūtei, itoko",cousin (younger male)
mei,niece
oi,nephew
ikimono,living creatures
bakemono,monster
dōbutsu,animal
chītā,cheetah
inu,dog
neko,cat
ushi,cow
buta,pig
uma,horse
hitsuji,sheep
saru,monkey
nezumi,"mouse, rat"
tora,tiger
ōkami,wolf
usagi,rabbit
"ryū, tatsu",dragon
shika,deer
kaeru,frog
gama,toad
shishi,lion
kirin,giraffe
zō,elephant
tori,bird
niwatori,chicken
suzume,sparrow
karasu,"crow, raven"
washi,eagle
taka,"hawk, falcon"
sakana,fish
tai,red snapper
ebi,"shrimp, lobster"
iwashi,sardine
maguro,tuna
katsuo,bonito
sanma,pike
aji,horse mackerel
saba,mackerel
ika,squid
tako,octopus
mushi,insect
chō,butterfly
ga,moth
tonbo,dragonfly
batta,grasshopper
kumo,spider
hotaru,firefly
hae,housefly
ka,"mosquito, gnat"
gokiburi,cockroach
katatsumuri,snail
namekuji,slug
mimizu,earthworm
kai,shellfish
kaigara,shell
tokage,lizard
hebi,snake
shokubutsu,plants
kusa,grass
hana,flower
mi,fruit
ki,tree
ha or happa,leaf
ne or nekko,root
kuki,stem
kinoko,mushroom
sakura,cherry blossom
kome,uncooked rice
ine,rice growing in a field
mugi,"wheat, barley, oats"
yasai,vegetable
kudamono,fruit for eating
imo,potato
mame,"beans, peas"
ninjin,carrot
ringo,apple
"banana, kanshō",banana
kuri,chestnut tree
momo,peach
"tomato, banka",tomato
suika,watermelon
tabemono,food
"chōshoku, asagohan",breakfast
hirugohan,lunch
bangohan,supper
gohan,cooked rice or food
ryōri,cooking
sarada,salad
dezāto,dessert
pan,bread
sandoitchi,sandwich
oyatsu,snack
aisukurīmu,ice cream
nomimono,drink/beverage
cha,tea
ocha,green tea
kōhī,coffee
gyūnyū,milk
mizu,water
bīru,beer
wain,wine
satō,sugar
shio,salt
shōyu,soy sauce
jikan,time
"toki, ji",~hours
"koyomi, karendā",calendar
fun,minute
byō,second
"hi, nichi",day
"tsuki, gatsu",month
ichigatsu,january
nigatsu,february
sangatsu,march
shigatsu,april
gogatsu,may
rokugatsu,june
shichigatsu,july
hachigatsu,august
kugatsu,september
jūgatsu,october
jūichigatsu,november
jūnigatsu,december
"toshi, nen",year
kyonen,last year
kotoshi,this year
rainen,next year
"kinō, sakujitsu",yesterday
kyō,today
"ashita, asu, myōnichi",tomorrow
asa,morning
kesa,this morning
hiru,afternoon
yūgata,evening
ban,evening
yoru,"evening, night"
yōbi,~day
shū,week
senshū,last week
konshū,this week
raishū,next week
isshūkan,one week
nichi-yōbi,Sunday
getsu-yōbi,Monday
ka-yōbi,Tuesday
sui-yōbi,Wednesday
moku-yōbi,Thursday
kin-yōbi,Friday
do-yōbi,Saturday
taiyō,sun
tsuki,moon
hoshi,star
tenki,weather
hare,clear weather
ame,rain
kumori,cloudy
yuki,snow
kaze,wind
kaminari,"thunder, lightning"
taifū,typhoon
arashi,storm
sora,sky
kita,north
higashi,east
minami,south
nishi,west
koko,here
soko,there
asoko,over there
migi,right
hidari,left
ue,"above, up"
shita,"below, down"
mae,front
ushiro,behind
mukō,"the other side, opposite side"
naname,diagonal
temae,"nearer, more in front"
tooi,far
chikai,"near, close"
tetsudō,railway
eki,station
hikōki,airplane
kūkō,airport
hikōjō,airfield; airport
michi,"street, way, road"
dōro,road
basutei,bus-stop
tōri,avenue
densha,train
kuruma,car
jidōsha,car
rei,zero
zero,zero
ichi,one
ni,two
san,three
"yon, shi",four
go,five
roku,six
"nana, shichi",seven
hachi,eight
"kyū, ku",nine
jū,ten
hyaku,hundred
sen,thousand
man,ten thousand
oku,one hundred million
hitotsu,"one, one thing"
futatsu,"two, two things"
mittsu,"three, three things"
yottsu,"four, four things"
itsutsu,"five, five things"
muttsu,"six, six things"
nanatsu,"seven, seven things"
yattsu,"eight, eight things"
kokonotsu,"nine, nine things"
tō,"ten, ten things"
"ii, yoi",good
sugoi,amazing
subarashii,wonderful
warui,"bad, inferior"
takai,"expensive, high"
hikui,low
